Unnamed: 0,id,report_date,url,domain,creation_date,updated_date,control_over_dns,domain_indexed,known_hosting,is_archived,num_archives,between_archives_distance,phish_archives_distance,is_on_root,is_subdomain
0,65315faaae358716c6ce590b,2023-10-19T16:56:10.658000Z,https://pub-8d499de027714eed8fb20dc442496481.r2.dev/index.html#abuse@optusnet.com.au,pub-8d499de027714eed8fb20dc442496481.r2.dev,2022-08-23T14:38:38Z,2023-09-04T18:27:26Z,False,True,True,True,2,304,80,False,True
1,65315faaae358716c6ce58fb,2023-10-19T16:56:10.551000Z,https://w--smbcse--caceoed--co--jp2smbe-lorentelebeoufwa265-workers-dev.translate.goog/?_x_tr_hp=ww&_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=ja&_x_tr_pto=wapp,w--smbcse--caceoed--co--jp2smbe-lorentelebeoufwa265-workers-dev.translate.goog,2017-12-05T22:54:14Z,2022-11-08T09:27:09Z,True,True,False,True,2,1970,930,False,True
2,65315faaae358716c6ce58ed,2023-10-19T16:56:10.458000Z,https://adsinformation-about.github.io/repository/class/,adsinformation-about.github.io,2013-03-08T19:12:48Z,2023-02-09T09:11:27Z,False,True,True,True,2,378,154,False,True
3,65315faaae358716c6ce58e7,2023-10-19T16:56:10.417000Z,https://tribelio.page/reconfirm-metabusiness,tribelio.page,2021-07-29T10:52:44Z,2022-09-12T10:52:44Z,True,True,False,True,2,379,28,False,False
4,65315faaae358716c6ce58ca,2023-10-19T16:56:10.225000Z,https://tols-usopsst-track.com/go/trackconfirmaction,tols-usopsst-track.com,2023-09-20T11:03:46Z,2023-09-20T11:03:46Z,True,False,False,False,0,-2,-2,False,False
5,65315faaae358716c6ce58b8,2023-10-19T16:56:10.104000Z,https://ipfs.eth.aragon.network/ipfs/bafybeieqt5arb3opqfitwn3qvefxu4efnjgzhjoqddvunslrpnkmxpaw7y,ipfs.eth.aragon.network,2017-03-29T14:11:10Z,2023-03-04T08:42:54Z,True,True,False,True,2,299,44,False,True
6,65315faaae358716c6ce58b7,2023-10-19T16:56:10.097000Z,https://bafybeib25x4yg2ulaha5ppfxc4bdlqdmdemnrwomh7rkutapfrq3cv5npa.ipfs.cf-ipfs.com/iudty,bafybeib25x4yg2ulaha5ppfxc4bdlqdmdemnrwomh7rkutapfrq3cv5npa.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,2,1073,63,False,True
7,65315faaae358716c6ce58b5,2023-10-19T16:56:10.084000Z,https://bafybeihdojpztvcxx36xfukxqonhtyvhtjkxeypwcddnz6rhcnjwlstw2q.ipfs.cf-ipfs.com/hnyi-y35h-vp04-6hinjh-cv2-4h.html,bafybeihdojpztvcxx36xfukxqonhtyvhtjkxeypwcddnz6rhcnjwlstw2q.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,2,1073,58,False,True
8,65315faaae358716c6ce58b4,2023-10-19T16:56:10.077000Z,https://cf-ipfs.com/ipfs/QmdeWQhQj53hvePHLK8dxxUWdLxRHhaA2UdQWeRPdmvCnF/hnyi-y35h-vp04-6hinjh-cv2-4h.html,cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,2,1073,58,False,False
9,65315faaae358716c6ce58b3,2023-10-19T16:56:10.071000Z,https://cloudflare-ipfs.com/ipfs/bafybeib25x4yg2ulaha5ppfxc4bdlqdmdemnrwomh7rkutapfrq3cv5npa/iudty,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,4432,463,False,False
10,65315faaae358716c6ce58b1,2023-10-19T16:56:10.059000Z,https://cloudflare-ipfs.com/ipfs/bafybeihdojpztvcxx36xfukxqonhtyvhtjkxeypwcddnz6rhcnjwlstw2q/hnyi-y35h-vp04-6hinjh-cv2-4h.html,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,4432,470,False,False
11,65315faaae358716c6ce58b0,2023-10-19T16:56:10.053000Z,https://ipfs.eth.aragon.network/ipfs/bafybeib25x4yg2ulaha5ppfxc4bdlqdmdemnrwomh7rkutapfrq3cv5npa/iudty,ipfs.eth.aragon.network,2017-03-29T14:11:10Z,2023-03-04T08:42:54Z,True,True,False,True,2,299,64,False,True
12,65315faaae358716c6ce58ae,2023-10-19T16:56:10.039000Z,https://bafkreiapvgqohctvhof4tztblf6ztecfeiveem3xaqlgf6nl5sfooqwlze.ipfs.cf-ipfs.com,bafkreiapvgqohctvhof4tztblf6ztecfeiveem3xaqlgf6nl5sfooqwlze.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,2,1073,62,False,True
13,65315faaae358716c6ce58ab,2023-10-19T16:56:10.022000Z,https://cloudflare-ipfs.com/ipfs/bafkreiapvgqohctvhof4tztblf6ztecfeiveem3xaqlgf6nl5sfooqwlze,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,4432,466,False,False
14,65315faaae358716c6ce58a9,2023-10-19T16:56:10.013000Z,https://ipfs.eth.aragon.network/ipfs/bafkreiapvgqohctvhof4tztblf6ztecfeiveem3xaqlgf6nl5sfooqwlze,ipfs.eth.aragon.network,2017-03-29T14:11:10Z,2023-03-04T08:42:54Z,True,True,False,True,2,299,51,False,True
15,65315faaae358716c6ce58a7,2023-10-19T16:56:10.004000Z,https://bafybeihduy5kh7h6b6l42wqh7wt2jn27fahrdxyarln6kl3tralwfw4b6a.ipfs.cf-ipfs.com,bafybeihduy5kh7h6b6l42wqh7wt2jn27fahrdxyarln6kl3tralwfw4b6a.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,2,1073,62,False,True
16,65315fa9ae358716c6ce58a5,2023-10-19T16:56:09.992000Z,https://cf-ipfs.com/ipfs/QmdfJGf5d8FLrCR94MuuYjkHQtkXffEpR8C5Q6KoK1MRWX,bafybeihduy5kh7h6b6l42wqh7wt2jn27fahrdxyarln6kl3tralwfw4b6a.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,2,1073,62,False,True
17,65315fa9ae358716c6ce58a4,2023-10-19T16:56:09.985000Z,https://cloudflare-ipfs.com/ipfs/bafybeihduy5kh7h6b6l42wqh7wt2jn27fahrdxyarln6kl3tralwfw4b6a,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,4432,444,False,False
18,65315fa9ae358716c6ce58a2,2023-10-19T16:56:09.972000Z,https://bafkreia3ix64wtarrp5h3m2idi2luv6yhhioue3dqvcqpydtfu4gwn5lqm.ipfs.cf-ipfs.com,bafkreia3ix64wtarrp5h3m2idi2luv6yhhioue3dqvcqpydtfu4gwn5lqm.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,2,1073,65,False,True
19,65315fa9ae358716c6ce589f,2023-10-19T16:56:09.954000Z,https://bafkreievyeqcxiosoj65olgfhek5uyz6xgksdmrdas4ezoh53qaalhxyxa.ipfs.cf-ipfs.com,bafkreievyeqcxiosoj65olgfhek5uyz6xgksdmrdas4ezoh53qaalhxyxa.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,2,1073,65,False,True
20,65315fa9ae358716c6ce589e,2023-10-19T16:56:09.948000Z,https://cloudflare-ipfs.com/ipfs/bafkreia3ix64wtarrp5h3m2idi2luv6yhhioue3dqvcqpydtfu4gwn5lqm,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,4432,465,False,False
21,65315fa9ae358716c6ce589d,2023-10-19T16:56:09.942000Z,https://cloudflare-ipfs.com/ipfs/bafkreievyeqcxiosoj65olgfhek5uyz6xgksdmrdas4ezoh53qaalhxyxa,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,4432,465,False,False
